"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"26,""0.509866"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52747  >  80 [ACK] Seq=1 Ack=14961 Win=515 Len=0 SLE=16321 SRE=21761""";;;;;;;;;;;;;;;;;;;;;;;
"27,""1.545485"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52747 [ACK] Seq=14961 Ack=1 Win=154 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"28,""1.545619"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1 Ack=21761 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"29,""1.546073"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Spurious Retransmission] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"30,""1.546107"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 28#1] 52747  >  80 [ACK] Seq=1 Ack=21761 Win=515 Len=0 SLE=14961 SRE=16321""";;;;;;;;;;;;;;;;;;;;;;;
"31,""1.568574"",""192.168.43.22"",""192.229.232.240"",""HTTP"",""491"",""GET /filestreamingservice/files/3a6e3973-1652-476a-a31a-1a15a3fab777?P1=1602185137&P2=402&P3=2&P4=Yp%2bpWUSA4iM2WCSE0J6nNZIoM1P2lurkID6zoW6ujZTd3WGmDPTcz6RxnotI07zVKXOfzG5T4i4ax6iD6C0Lhw%3d%3d HTTP/1.1 """;;;;;;;;;;;;;;;;;;;;;;;
"32,""1.589769"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Previous segment not captured] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"33,""1.589885"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 28#2] 52747  >  80 [ACK] Seq=1 Ack=21761 Win=515 Len=0 SLE=23121 SRE=24481""";;;;;;;;;;;;;;;;;;;;;;;
"34,""1.595734"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"35,""1.595847"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 28#3] 52747  >  80 [ACK] Seq=1 Ack=21761 Win=515 Len=0 SLE=23121 SRE=25841""";;;;;;;;;;;;;;;;;;;;;;;
"36,""1.622883"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=1 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"37,""1.628858"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=1361 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"38,""1.628973"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=2721 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"39,""1.629241"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=2721 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"40,""1.629543"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=4081 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"41,""1.629590"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=5441 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"42,""1.649914"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52747 [ACK] Seq=21761 Ack=1 Win=154 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"43,""1.650039"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1 Ack=25841 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"44,""1.655872"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"45,""1.673888"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52755 [ACK] Seq=6801 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"46,""1.674003"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 41#1] 52755  >  80 [ACK] Seq=438 Ack=5441 Win=515 Len=0 SLE=6801 SRE=8161""";;;;;;;;;;;;;;;;;;;;;;;
"47,""1.686040"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52755 [ACK] Seq=5441 Ack=438 Win=147 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"48,""1.686170"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=8161 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"49,""1.686528"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=8161 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"50,""1.686734"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=9521 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"51,""1.686768"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=10881 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
