"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"1143,""14.035786"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52748  >  80 [ACK] Seq=2623 Ack=392531 Win=515 Len=0 SLE=393891 SRE=395251""";;;;;;;;;;;;;;;;;;;;;;;
"1144,""14.041439"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=392531 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1145,""14.041571"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=395251 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1146,""14.153517"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52748 [ACK] Seq=397971 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1147,""14.153638"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1145#1] 52748  >  80 [ACK] Seq=2623 Ack=395251 Win=515 Len=0 SLE=397971 SRE=399331""";;;;;;;;;;;;;;;;;;;;;;;
"1148,""14.229691"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52748 [ACK] Seq=400691 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1149,""14.229803"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""[TCP Dup ACK 1145#2] 52748  >  80 [ACK] Seq=2623 Ack=395251 Win=515 Len=0 SLE=400691 SRE=402051 SLE=397971 SRE=399331""";;;;;;;;;;;;;;;;;;;;;;;
"1150,""14.235586"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=402051 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1151,""14.235701"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""[TCP Dup ACK 1145#3] 52748  >  80 [ACK] Seq=2623 Ack=395251 Win=515 Len=0 SLE=400691 SRE=403411 SLE=397971 SRE=399331""";;;;;;;;;;;;;;;;;;;;;;;
"1152,""14.236101"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Out-Of-Order] 80  >  52748 [ACK] Seq=399331 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1153,""14.236160"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1145#4] 52748  >  80 [ACK] Seq=2623 Ack=395251 Win=515 Len=0 SLE=397971 SRE=403411""";;;;;;;;;;;;;;;;;;;;;;;
"1154,""14.317568"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=395251 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1155,""14.317702"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52748  >  80 [ACK] Seq=2623 Ack=396611 Win=515 Len=0 SLE=397971 SRE=403411""";;;;;;;;;;;;;;;;;;;;;;;
"1156,""14.318043"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=396611 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1157,""14.318091"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=403411 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1158,""14.318462"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=403411 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1159,""14.360042"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=404771 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1160,""14.373712"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=404771 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1161,""14.385828"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=406131 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1162,""14.385946"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=407491 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1163,""14.395566"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=407491 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1164,""14.429804"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=408851 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1165,""14.429921"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=410211 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1166,""14.435675"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=410211 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1167,""14.435829"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=411571 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1168,""14.435885"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=412931 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1169,""14.571602"",""192.168.43.22"",""192.229.232.240"",""HTTP"",""491"",""GET /filestreamingservice/files/3a6e3973-1652-476a-a31a-1a15a3fab777?P1=1602185137&P2=402&P3=2&P4=Yp%2bpWUSA4iM2WCSE0J6nNZIoM1P2lurkID6zoW6ujZTd3WGmDPTcz6RxnotI07zVKXOfzG5T4i4ax6iD6C0Lhw%3d%3d HTTP/1.1 """;;;;;;;;;;;;;;;;;;;;;;;
"1170,""14.597617"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=412931 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1171,""14.629626"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=168392 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1172,""14.635961"",""192.229.232.240"",""192.168.43.22"",""TCP"",""2774"",""80  >  52747 [ACK] Seq=169752 Ack=1312 Win=160 Len=2720 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1173,""14.636086"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=172472 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1174,""14.636344"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=172472 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1175,""14.636369"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=173832 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1176,""14.636640"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=173832 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1177,""14.638904"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=414291 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1178,""14.641752"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=175192 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1179,""14.641854"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=176552 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1180,""14.653592"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Spurious Retransmission] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1181,""14.653682"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""[TCP Dup ACK 991#2] 52746  >  80 [ACK] Seq=1 Ack=58481 Win=515 Len=0 SLE=55761 SRE=57121 SLE=61201 SRE=62561""";;;;;;;;;;;;;;;;;;;;;;;
"1182,""14.709789"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=176552 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1183,""14.715954"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=177912 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1184,""14.715954"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52747 [ACK] Seq=180632 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1185,""14.716155"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52747  >  80 [ACK] Seq=1312 Ack=179272 Win=515 Len=0 SLE=180632 SRE=181992""";;;;;;;;;;;;;;;;;;;;;;;
"1186,""14.716428"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Out-Of-Order] 80  >  52747 [ACK] Seq=179272 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1187,""14.716476"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=181992 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1188,""14.716848"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52747 [ACK] Seq=183352 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1189,""14.716893"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1187#1] 52747  >  80 [ACK] Seq=1312 Ack=181992 Win=515 Len=0 SLE=183352 SRE=184712""";;;;;;;;;;;;;;;;;;;;;;;
"1190,""14.717169"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Out-Of-Order] 80  >  52747 [ACK] Seq=181992 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1191,""14.717207"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=184712 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1192,""14.721615"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1193,""14.721726"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 991#3] 52746  >  80 [ACK] Seq=1 Ack=58481 Win=515 Len=0 SLE=61201 SRE=63921""";;;;;;;;;;;;;;;;;;;;;;;
"1194,""14.722024"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1195,""14.722068"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 991#4] 52746  >  80 [ACK] Seq=1 Ack=58481 Win=515 Len=0 SLE=61201 SRE=65281""";;;;;;;;;;;;;;;;;;;;;;;
"1196,""14.727547"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1197,""14.727673"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 991#5] 52746  >  80 [ACK] Seq=1 Ack=58481 Win=515 Len=0 SLE=61201 SRE=66641""";;;;;;;;;;;;;;;;;;;;;;;
"1198,""14.789722"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=184712 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1199,""14.795726"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=186072 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1200,""14.795843"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=187432 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1201,""14.796186"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=187432 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1202,""14.796387"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=188792 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1203,""14.796423"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=190152 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1204,""14.801756"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=190152 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1205,""14.801936"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=191512 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1206,""14.801993"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=192872 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1207,""14.802352"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=192872 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1208,""14.843017"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=194232 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1209,""14.869906"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=194232 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1210,""14.875925"",""192.229.232.240"",""192.168.43.22"",""TCP"",""2774"",""80  >  52747 [ACK] Seq=195592 Ack=1312 Win=160 Len=2720 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1211,""14.876037"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=198312 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1212,""14.876377"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=198312 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1213,""14.876412"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=199672 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1214,""14.876786"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=199672 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1215,""14.881473"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=201032 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1216,""14.881580"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=202392 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1217,""14.913665"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52748 [ACK] Seq=421091 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1218,""14.913784"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1177#1] 52748  >  80 [ACK] Seq=2623 Ack=414291 Win=515 Len=0 SLE=421091 SRE=422451""";;;;;;;;;;;;;;;;;;;;;;;
"1219,""14.989748"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=414291 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1220,""14.989867"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52748  >  80 [ACK] Seq=2623 Ack=415651 Win=515 Len=0 SLE=421091 SRE=422451""";;;;;;;;;;;;;;;;;;;;;;;
"1221,""15.009547"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=202392 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1222,""15.029867"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=415651 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1223,""15.030000"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52748  >  80 [ACK] Seq=2623 Ack=417011 Win=515 Len=0 SLE=421091 SRE=422451""";;;;;;;;;;;;;;;;;;;;;;;
"1224,""15.035791"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=417011 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1225,""15.035908"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52748  >  80 [ACK] Seq=2623 Ack=418371 Win=515 Len=0 SLE=421091 SRE=422451""";;;;;;;;;;;;;;;;;;;;;;;
"1226,""15.041738"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52746 [PSH, ACK] Seq=58481 Ack=1 Win=133 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1227,""15.041876"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52746  >  80 [ACK] Seq=1 Ack=59841 Win=515 Len=0 SLE=61201 SRE=66641""";;;;;;;;;;;;;;;;;;;;;;;
"1228,""15.056620"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=203752 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1229,""15.077952"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=419731 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1230,""15.078072"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1225#1] 52748  >  80 [ACK] Seq=2623 Ack=418371 Win=515 Len=0 SLE=419731 SRE=422451""";;;;;;;;;;;;;;;;;;;;;;;
"1231,""15.083641"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52748 [ACK] Seq=418371 Ack=2623 Win=160 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1232,""15.083772"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=422451 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1233,""15.084217"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=422451 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1234,""15.089944"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Retransmission] 80  >  52746 [ACK] Seq=59841 Ack=1 Win=133 Len=1360""";;;;;;;;;;;;;;;;;;;;;;;
"1235,""15.090162"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1 Ack=66641 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1236,""15.090588"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1237,""15.090777"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1238,""15.090813"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1 Ack=69361 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1239,""15.096636"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52747 [ACK] Seq=205112 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1240,""15.096759"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1228#1] 52747  >  80 [ACK] Seq=1312 Ack=203752 Win=515 Len=0 SLE=205112 SRE=206472""";;;;;;;;;;;;;;;;;;;;;;;
"1241,""15.102903"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=206472 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1242,""15.103030"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1228#2] 52747  >  80 [ACK] Seq=1312 Ack=203752 Win=515 Len=0 SLE=205112 SRE=207832""";;;;;;;;;;;;;;;;;;;;;;;
"1243,""15.108971"",""192.229.232.240"",""192.168.43.22"",""TCP"",""4134"",""[TCP Previous segment not captured] 80  >  52747 [ACK] Seq=209192 Ack=1312 Win=160 Len=4080 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1244,""15.109102"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""[TCP Dup ACK 1228#3] 52747  >  80 [ACK] Seq=1312 Ack=203752 Win=515 Len=0 SLE=209192 SRE=213272 SLE=205112 SRE=207832""";;;;;;;;;;;;;;;;;;;;;;;
"1245,""15.109555"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=213272 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1246,""15.109555"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Fast Retransmission] 80  >  52747 [ACK] Seq=203752 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1247,""15.109605"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""[TCP Dup ACK 1228#4] 52747  >  80 [ACK] Seq=1312 Ack=203752 Win=515 Len=0 SLE=209192 SRE=214632 SLE=205112 SRE=207832""";;;;;;;;;;;;;;;;;;;;;;;
"1248,""15.109684"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52747  >  80 [ACK] Seq=1312 Ack=207832 Win=515 Len=0 SLE=209192 SRE=214632""";;;;;;;;;;;;;;;;;;;;;;;
"1249,""15.110089"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52747 [ACK] Seq=214632 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1250,""15.110124"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1248#1] 52747  >  80 [ACK] Seq=1312 Ack=207832 Win=515 Len=0 SLE=209192 SRE=215992""";;;;;;;;;;;;;;;;;;;;;;;
"1251,""15.110491"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Out-Of-Order] 80  >  52747 [ACK] Seq=207832 Ack=1312 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1252,""15.110551"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52747  >  80 [ACK] Seq=1312 Ack=215992 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1253,""15.123560"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=423811 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1254,""15.123696"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=2623 Ack=425171 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1255,""15.129873"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52748 [ACK] Seq=425171 Ack=2623 Win=160 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"1256,""15.130031"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1257,""15.135917"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1258,""15.136171"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52746  >  80 [ACK] Seq=1 Ack=72081 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"1259,""15.136479"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Previous segment not captured] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"1260,""15.136530"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1258#1] 52746  >  80 [ACK] Seq=1 Ack=72081 Win=515 Len=0 SLE=73441 SRE=74801""";;;;;;;;;;;;;;;;;;;;;;;
